City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
58,Hasaki,JP,75.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
60,Shimoda,JP,69.8,light intensity shower rain,34.67,138.95,Shimoda Tokyu Hotel
62,Kurumkan,RU,62.53,overcast clouds,54.3,110.3,Ilikchin
63,Souillac,MU,73.4,shower rain,-20.52,57.52,Bils' Villa
65,Ribeira Grande,PT,61.92,broken clouds,38.52,-28.7,Quinta da Meia Eira
67,Namibe,AO,73.33,clear sky,-15.2,12.15,Chik-Chik Namibe
68,Salalah,OM,82.4,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
73,Faanui,PF,80.82,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
75,Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
78,Cayenne,GF,78.8,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
79,Ponta Do Sol,PT,64.4,scattered clouds,32.67,-17.1,Hotel do Campo
80,Carnarvon,AU,74.16,overcast clouds,-24.87,113.63,Hospitality Carnarvon
83,Vila Franca Do Campo,PT,60.8,scattered clouds,37.72,-25.43,Pestana Bahia Praia
84,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
90,Abnub,EG,68.0,clear sky,27.27,31.15,Romany Adly Gad
94,Dolinsk,RU,68.0,clear sky,47.35,142.8,"Gostinitsa ""Yubileynaya"""
96,Hithadhoo,MV,84.65,broken clouds,-0.6,73.08,Scoop Guest House
100,Touros,BR,75.2,shower rain,-5.2,-35.46,INN NEW HORIZON
102,San Patricio,MX,73.76,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
103,Gizo,SB,84.61,broken clouds,-8.1,156.84,Imagination Island
104,Green River,US,66.2,few clouds,41.53,-109.47,Hampton Inn & Suites Green River
107,Kochi,IN,82.4,mist,9.94,76.26,Trident Hotel Cochin
109,Aksu,CN,86.09,clear sky,41.12,80.26,Pudong Holiday Hotel
110,Praya,CV,71.6,few clouds,14.92,-23.51,LT Aparthotel
111,Meulaboh,ID,85.68,overcast clouds,4.14,96.13,Kost Pria
113,Nishihara,JP,84.2,broken clouds,26.18,127.76,Minshuku Agaihama
114,Lata,PT,63.0,broken clouds,40.16,-8.33,Casa Maquia
120,Alyangula,AU,86.0,few clouds,-13.85,136.42,Groote Eylandt Lodge
121,Vilyuysk,RU,65.84,broken clouds,63.76,121.62,Gostinitsa Viliuisk
123,Springdale,US,73.4,clear sky,36.19,-94.13,Springdale Inn
124,Thompson,CA,60.8,overcast clouds,55.74,-97.86,Burntwood Hotel
127,Komsomolskiy,UZ,84.2,overcast clouds,40.43,71.72,"Hotel ""Ikathouse"""
132,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
