City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
160,Taoudenni,ML,22.68,-3.98,93.87,26,98,16.26,light rain,0.11,0.0
161,Yumen,CN,40.28,97.2,74.75,19,10,8.34,clear sky,0.0,0.0
162,Kedrovyy,RU,56.17,91.82,51.8,66,40,11.18,scattered clouds,0.0,0.0
163,The Valley,AI,18.22,-63.06,82.4,74,20,9.17,few clouds,0.0,0.0
164,Dubbo,AU,-32.25,148.62,59.0,54,90,19.46,overcast clouds,0.0,0.0
165,Fort Oglethorpe,US,34.95,-85.26,69.8,52,20,9.17,few clouds,0.0,0.0
166,Tasiilaq,GL,65.61,-37.64,35.6,93,100,11.41,overcast clouds,0.0,0.0
167,Quelimane,MZ,-17.88,36.89,68.0,94,40,3.36,scattered clouds,0.0,0.0
168,Narsaq,GL,60.92,-46.05,51.8,34,100,8.05,light rain,0.66,0.0
169,Wajir,KE,1.75,40.06,76.6,74,56,8.37,broken clouds,0.0,0.0
170,Fortuna,US,40.6,-124.16,55.0,93,75,8.05,broken clouds,0.0,0.0
171,Bolobo,CD,-2.17,16.23,72.72,91,100,1.86,light rain,0.22,0.0
172,Kavieng,PG,-2.57,150.8,85.21,70,22,7.2,light rain,0.13,0.0
173,Stephanskirchen,DE,47.86,12.15,48.0,89,30,1.01,scattered clouds,0.0,0.0
174,Montbeliard,FR,47.52,6.8,50.0,93,16,8.93,few clouds,0.0,0.0
175,Mar Del Plata,AR,-38.0,-57.56,48.99,87,40,5.82,light intensity shower rain,0.25,0.0
176,Pisco,PE,-13.7,-76.22,64.99,88,0,4.7,clear sky,0.0,0.0
177,Upernavik,GL,72.79,-56.15,29.35,94,10,5.93,clear sky,0.0,0.0
178,Ahipara,NZ,-35.17,173.17,61.52,89,59,15.03,broken clouds,0.0,0.0
179,Tiksi,RU,71.69,128.87,40.48,66,34,10.33,scattered clouds,0.0,0.0
180,Hovd,MN,48.01,91.64,70.07,22,99,1.39,overcast clouds,0.0,0.0
181,Longyearbyen,SJ,78.22,15.64,35.6,93,75,9.17,light intensity drizzle,0.0,0.0
182,Bontang,ID,0.13,117.5,86.65,64,99,4.85,overcast clouds,0.0,0.0
183,Minuri,PH,16.54,121.86,92.23,49,50,2.35,scattered clouds,0.0,0.0
184,Barcelona,ES,41.39,2.16,69.01,77,20,2.24,few clouds,0.0,0.0
185,Pyapon,MM,16.28,95.68,91.76,53,72,4.61,broken clouds,0.0,0.0
186,Poronaysk,RU,49.22,143.12,62.17,54,0,10.65,clear sky,0.0,0.0
187,Port Hardy,CA,50.7,-127.42,53.6,71,75,8.05,broken clouds,0.0,0.0
188,Padang,ID,-0.95,100.35,87.26,60,61,4.68,broken clouds,0.0,0.0
189,Akyab,MM,20.15,92.9,86.14,68,34,5.59,scattered clouds,0.0,0.0
190,San Jose De Las Lajas,CU,22.96,-82.15,75.2,100,75,2.24,broken clouds,0.0,0.0
191,North Bend,US,43.41,-124.22,57.0,76,1,20.8,clear sky,0.0,0.0
192,Cape Canaveral,US,28.41,-80.6,81.0,88,90,4.7,overcast clouds,0.0,0.0
193,Huarmey,PE,-10.07,-78.15,66.63,86,46,8.95,scattered clouds,0.0,0.0
194,Bowen,AU,-20.02,148.23,79.0,61,75,8.05,broken clouds,0.0,0.0
195,Kuchera,IN,26.98,73.97,91.9,35,0,4.81,light rain,0.16,0.0
196,Fort Saint James,CA,54.43,-124.25,52.79,44,29,7.2,scattered clouds,0.0,0.0
197,Anadyr,RU,64.75,177.48,57.2,50,6,15.66,clear sky,0.0,0.0
198,Qostanay,KZ,53.17,63.58,73.4,56,12,20.13,few clouds,0.0,0.0
199,Noumea,NC,-22.28,166.46,77.0,73,90,6.93,overcast clouds,0.0,0.0
200,Manicore,BR,-5.81,-61.3,73.11,97,100,1.25,overcast clouds,0.0,0.0
201,Sonipat,IN,28.98,77.02,86.0,58,20,3.36,haze,0.0,0.0
202,Lubao,PH,14.92,120.55,93.2,52,40,6.93,scattered clouds,0.0,0.0
203,Asasa,ET,7.1,39.2,55.96,74,15,0.65,few clouds,0.0,0.0
204,Pokhara,NP,28.23,83.98,83.95,37,11,4.76,few clouds,0.0,0.0
205,Raga,SS,8.46,25.68,72.91,81,16,4.9,few clouds,0.0,0.0
206,Hirara,JP,24.8,125.28,86.0,79,40,14.99,scattered clouds,0.0,0.0
207,Bouloupari,NC,-21.87,166.05,75.2,73,90,6.93,overcast clouds,0.0,0.0
208,Porto Nacional,BR,-10.71,-48.42,71.6,88,0,5.82,clear sky,0.0,0.0
209,Bay Roberts,CA,47.6,-53.26,55.99,1,83,12.08,broken clouds,0.0,0.0
210,Luderitz,NA,-26.65,15.16,53.6,81,0,3.36,clear sky,0.0,0.0
211,Vilhena,BR,-12.74,-60.15,67.41,77,13,3.04,few clouds,0.0,0.0
212,Arlit,NE,18.74,7.39,90.97,15,53,8.84,broken clouds,0.0,0.0
213,Say,NE,13.1,2.37,87.8,43,18,11.41,few clouds,0.0,0.0
214,Nanortalik,GL,60.14,-45.24,41.16,78,100,3.29,light rain,0.13,0.0
215,De Panne,BE,51.08,2.59,57.0,82,13,6.93,few clouds,0.0,0.0
216,Civitavecchia,IT,42.09,11.8,54.0,80,0,10.54,clear sky,0.0,0.0
217,Fort Nelson,CA,58.81,-122.7,50.0,76,75,8.05,broken clouds,0.0,0.0
218,Adra,ES,36.75,-3.02,69.8,40,69,5.82,broken clouds,0.0,0.0
219,Kuala Kedah,MY,6.1,100.3,86.0,84,20,3.36,few clouds,0.0,0.0
220,Katangli,RU,51.71,143.23,50.72,75,51,8.23,broken clouds,0.0,0.0
221,Sorong,ID,-0.88,131.25,84.78,68,20,7.14,few clouds,0.0,0.0
222,Puerto Leguizamo,CO,-0.19,-74.78,73.58,92,75,1.36,broken clouds,0.0,0.0
223,Kaitangata,NZ,-46.28,169.85,50.0,57,0,4.0,clear sky,0.0,0.0
224,Muros,ES,42.78,-9.06,61.0,92,89,1.99,overcast clouds,0.0,0.0
225,Inhambane,MZ,-23.86,35.38,67.93,78,2,6.02,clear sky,0.0,0.0
226,Vestmannaeyjar,IS,63.44,-20.27,45.91,71,85,8.75,overcast clouds,0.0,0.0
227,Ixtapa,MX,20.7,-105.2,73.99,97,86,1.99,overcast clouds,0.0,0.0
228,Alofi,NU,-19.06,-169.92,80.6,83,78,13.87,broken clouds,0.0,0.0
229,Bambous Virieux,MU,-20.34,57.76,73.4,83,75,10.29,shower rain,0.0,0.0
230,Aracati,BR,-4.56,-37.77,77.31,89,100,5.3,overcast clouds,0.0,0.0
231,Vardo,NO,70.37,31.11,46.0,87,100,6.87,overcast clouds,0.0,0.0
232,Nikolskoye,RU,59.7,30.79,46.4,64,1,8.95,clear sky,0.0,0.0
233,Tagusao,PH,9.19,117.81,86.38,66,70,4.68,moderate rain,1.13,0.0
234,Piripiri,BR,-4.27,-41.78,72.12,94,100,2.71,overcast clouds,0.0,0.0
235,Turukhansk,RU,65.82,87.98,49.17,50,100,16.51,overcast clouds,0.0,0.0
236,Hay River,CA,60.82,-115.8,37.4,93,90,9.17,light rain,0.0,0.0
237,Mareeba,AU,-17.0,145.43,80.6,65,75,4.7,broken clouds,0.0,0.0
238,Ginir,ET,7.13,40.7,59.36,90,19,5.64,few clouds,0.0,0.0
239,Ust-Ilimsk,RU,58.0,102.66,56.08,72,93,4.83,light rain,0.9,0.0
240,Tevriz,RU,57.51,72.4,49.68,77,96,6.82,light rain,0.9,0.0
241,Halifax,CA,44.65,-63.57,57.0,66,81,1.99,broken clouds,0.0,0.0
242,Rawson,AR,-43.3,-65.1,45.66,58,1,5.84,clear sky,0.0,0.0
243,Pangkalanbuun,ID,-2.68,111.62,88.79,64,98,1.77,moderate rain,1.14,0.0
244,Saskylakh,RU,71.92,114.08,48.38,70,88,1.9,overcast clouds,0.0,0.0
245,Esperance,AU,-33.87,121.9,59.0,100,75,4.7,broken clouds,0.0,0.0
246,Unecha,RU,52.85,32.67,45.3,90,99,15.35,overcast clouds,0.0,0.0
247,Aasiaat,GL,68.71,-52.87,33.22,92,100,5.88,overcast clouds,0.0,0.0
248,Nabire,ID,-3.37,135.48,87.12,64,28,3.38,light rain,0.52,0.0
249,Kruisfontein,ZA,-34.0,24.73,54.14,61,0,5.59,clear sky,0.0,0.0
250,Ola,RU,59.58,151.28,43.32,78,94,10.36,overcast clouds,0.0,0.0
251,Strezhevoy,RU,60.73,77.59,46.4,70,90,6.71,overcast clouds,0.0,0.0
252,Klaksvik,FO,62.23,-6.59,50.0,100,100,4.7,fog,0.0,0.0
253,Talnakh,RU,69.49,88.4,39.2,69,75,11.18,broken clouds,0.0,0.0
254,Saint-Francois,FR,46.42,3.91,53.01,81,65,1.12,broken clouds,0.0,0.0
255,Kumluca,TR,36.37,30.29,64.36,63,0,3.24,clear sky,0.0,0.0
256,Henties Bay,NA,-22.12,14.28,70.05,29,0,7.83,clear sky,0.0,0.0
257,Bubaque,GW,11.28,-15.83,77.94,83,100,8.72,light rain,0.21,0.0
258,Maningrida,AU,-12.07,134.27,85.86,52,0,10.13,clear sky,0.0,0.0
259,Jinan,CN,36.67,117.0,86.0,19,75,17.9,light rain,0.25,0.0
260,Yilan,TW,24.76,121.75,87.8,74,75,8.05,light intensity shower rain,0.0,0.0
261,Hofn,IS,64.25,-15.21,44.65,59,0,8.28,clear sky,0.0,0.0
262,Tuy Hoa,VN,13.08,109.3,93.0,52,0,3.44,clear sky,0.0,0.0
263,Tazovskiy,RU,67.47,78.7,41.07,67,99,11.3,overcast clouds,0.0,0.0
264,Qaqortoq,GL,60.72,-46.03,51.8,34,100,8.05,light rain,0.3,0.0
265,Severo-Yeniseyskiy,RU,60.37,93.04,45.54,74,99,11.32,overcast clouds,0.0,0.0
266,Plover,US,44.46,-89.54,55.0,87,1,6.49,clear sky,0.0,0.0
267,Kattivakkam,IN,13.22,80.32,91.4,63,20,8.05,few clouds,0.0,0.0
268,Mackay,AU,-21.15,149.2,80.01,64,2,8.05,clear sky,0.0,0.0
269,Coracora,PE,-15.03,-73.78,43.75,80,4,2.39,clear sky,0.0,0.0
270,Misratah,LY,32.38,15.09,66.45,81,18,1.25,few clouds,0.0,0.0
271,Constitucion,CL,-35.33,-72.42,52.16,66,24,4.59,few clouds,0.0,0.0
272,Sao Filipe,CV,14.9,-24.5,72.88,76,9,5.3,clear sky,0.0,0.0
273,Castel San Pietro Terme,IT,44.4,11.58,57.2,76,0,4.7,clear sky,0.0,0.0
274,Port Blair,IN,11.67,92.75,86.97,67,78,6.17,broken clouds,0.0,0.0
275,Brae,GB,60.4,-1.35,51.8,76,0,11.41,clear sky,0.0,0.0
276,Bratca,RO,46.93,22.62,50.0,100,100,5.82,drizzle,0.0,0.0
277,Antalya,TR,36.77,30.72,59.0,87,0,2.24,clear sky,0.0,0.0
278,Det Udom,TH,14.91,105.08,87.8,66,20,4.7,few clouds,0.0,0.0
279,Hamilton,US,39.18,-84.53,57.0,71,1,4.83,clear sky,0.0,0.0
280,La Orilla,MX,17.98,-102.23,73.18,88,5,5.01,clear sky,0.0,0.0
281,Vao,NC,-22.67,167.48,72.43,78,11,11.99,few clouds,0.0,0.0
282,Patacamaya,BO,-17.23,-67.92,39.13,82,70,7.18,broken clouds,0.0,0.0
283,Cheremukhovo,RU,60.35,59.99,48.72,64,96,6.46,overcast clouds,0.0,0.0
284,Bonfim,BR,3.08,-59.95,77.45,84,77,4.34,broken clouds,0.0,0.0
285,Hambantota,LK,6.12,81.12,85.6,69,89,12.28,overcast clouds,0.0,0.0
286,Filadelfia,US,39.95,-75.16,61.0,36,1,14.99,clear sky,0.0,0.0
287,Hirata,JP,35.43,132.82,78.8,61,75,11.41,broken clouds,0.0,0.0
288,Narasannapeta,IN,18.42,84.05,90.91,65,93,12.68,overcast clouds,0.0,0.0
289,Avarua,CK,-21.21,-159.78,75.2,78,97,5.82,overcast clouds,0.0,0.0
290,Vostok,RU,46.49,135.88,75.02,24,58,6.78,broken clouds,0.0,0.0
291,Saint Anthony,US,45.02,-93.22,73.4,40,90,8.05,overcast clouds,0.0,0.0
292,Yarada,IN,17.65,83.27,89.6,75,40,9.17,haze,0.0,0.0
293,Aldergrove,CA,49.06,-122.47,57.2,54,75,6.93,broken clouds,0.0,0.0
294,Sao Joao Da Barra,BR,-21.64,-41.05,66.96,85,54,6.04,broken clouds,0.0,0.0
295,Mezhdurechensk,RU,53.69,88.06,52.99,94,100,2.59,moderate rain,1.25,0.0
296,Bundaberg,AU,-24.85,152.35,73.99,64,75,9.17,broken clouds,0.0,0.0
297,Qingdao,CN,36.1,120.37,80.6,39,66,13.42,broken clouds,0.0,0.0
298,Lakatoro,VU,-16.1,167.42,84.2,74,40,1.12,scattered clouds,0.0,0.0
299,Luganville,VU,-15.53,167.17,84.2,74,40,1.12,scattered clouds,0.0,0.0
300,Nanakuli,US,21.39,-158.15,84.2,51,40,8.05,scattered clouds,0.0,0.0
301,Rocha,UY,-34.48,-54.33,50.34,77,52,11.95,broken clouds,0.0,0.0
302,Homer,US,59.64,-151.55,57.2,58,75,4.7,broken clouds,0.0,0.0
303,Nome,US,64.5,-165.41,71.01,48,1,10.29,light rain,0.76,0.0
304,Ulaangom,MN,49.98,92.07,72.82,21,96,4.92,overcast clouds,0.0,0.0
