City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Rosita,NI,2020-05-28 05:02:08,13.93,-84.4,75.33,97,86,1.36
250,Mumford,GH,2020-05-28 05:02:08,5.26,-0.76,78.96,88,99,7.0
251,Vestmanna,FO,2020-05-28 05:02:08,62.16,-7.17,46.4,100,39,9.17
252,Omboue,GA,2020-05-28 05:02:08,-1.57,9.26,76.26,90,100,5.28
253,Ganzhou,CN,2020-05-28 05:02:08,28.82,115.43,85.6,50,92,1.57
254,Gusau,NG,2020-05-28 05:02:08,12.16,6.66,79.27,64,99,5.88
255,Derzhavinsk,KZ,2020-05-28 05:02:08,51.1,66.32,70.25,39,0,13.24
256,Ust-Karsk,RU,2020-05-28 05:02:09,52.7,118.81,56.59,83,97,2.53
257,Labytnangi,RU,2020-05-28 04:57:28,66.66,66.42,46.6,67,100,13.67
258,Brae,GB,2020-05-28 05:02:09,60.4,-1.35,48.2,87,90,11.41
259,Visnes,NO,2020-05-28 05:02:09,59.36,5.22,48.0,93,29,2.24
260,Les Cayes,HT,2020-05-28 05:02:09,18.2,-73.75,77.97,82,100,3.36
261,Acajutla,SV,2020-05-28 05:00:10,13.59,-89.83,73.99,97,100,5.21
262,Litovko,RU,2020-05-28 05:02:10,49.24,135.17,81.09,34,17,2.3
263,Kruisfontein,ZA,2020-05-28 05:02:10,-34.0,24.73,50.0,49,8,12.73
264,Lieksa,FI,2020-05-28 05:02:10,63.32,30.02,48.78,78,100,9.19
265,Sabang,ID,2020-05-28 05:02:10,5.89,95.32,84.54,72,88,6.82
266,Caohai,CN,2020-05-28 04:58:32,26.87,104.28,49.53,87,99,3.71
267,Crossville,US,2020-05-28 05:02:10,35.95,-85.03,64.0,93,90,4.7
268,Ust-Maya,RU,2020-05-28 05:02:11,60.42,134.53,80.42,29,100,11.14
269,Fort Nelson,CA,2020-05-28 04:59:05,58.81,-122.7,59.0,54,40,2.51
270,Alofi,NU,2020-05-28 05:02:11,-19.06,-169.92,78.8,83,90,5.82
271,Faanui,PF,2020-05-28 05:02:11,-16.48,-151.75,81.39,75,22,9.89
272,Victor Harbor,AU,2020-05-28 05:02:11,-35.57,138.62,61.0,72,18,8.75
273,Macae,BR,2020-05-28 05:02:11,-22.37,-41.79,62.6,82,5,2.24
274,Gaoua,BF,2020-05-28 05:02:11,10.3,-3.25,77.49,79,94,3.13
275,Anloga,GH,2020-05-28 05:02:12,5.79,0.9,78.8,94,20,5.82
276,Luau,AO,2020-05-28 05:02:12,-10.71,22.22,60.98,62,84,4.09
277,Puerto Del Rosario,ES,2020-05-28 05:02:12,28.5,-13.86,64.4,77,4,1.12
278,Pipri,IN,2020-05-28 05:02:12,19.8,75.53,89.6,46,57,8.05
279,Bonthe,SL,2020-05-28 05:02:12,7.53,-12.51,79.43,83,99,3.65
280,Padang,ID,2020-05-28 05:02:13,-0.95,100.35,87.73,60,68,5.03
281,Mokhsogollokh,RU,2020-05-28 05:02:13,61.47,128.92,52.07,82,100,10.2
282,Lompoc,US,2020-05-28 04:59:58,34.64,-120.46,57.99,93,1,4.7
283,Lander,US,2020-05-28 05:02:13,42.83,-108.73,64.4,45,75,8.05
284,Atasu,KZ,2020-05-28 05:02:14,48.68,71.64,67.87,26,0,12.8
285,Langsa,ID,2020-05-28 05:02:14,4.47,97.97,93.07,52,81,4.88
286,Choma,ZM,2020-05-28 05:02:14,-16.81,26.95,53.94,41,0,5.3
287,Ust-Tsilma,RU,2020-05-28 05:02:14,65.44,52.15,57.02,56,96,6.24
288,Jalu,LY,2020-05-28 05:02:14,29.03,21.55,66.76,50,24,13.96
289,Darhan,MN,2020-05-28 05:02:15,49.49,105.92,50.88,54,100,19.22
290,Kamaishi,JP,2020-05-28 05:02:15,39.27,141.88,64.4,55,75,8.05
291,Ulagan,RU,2020-05-28 05:02:15,50.63,87.96,51.26,44,80,4.65
292,Port Blair,IN,2020-05-28 05:02:15,11.67,92.75,87.31,74,91,11.88
293,Astorga,BR,2020-05-28 05:02:15,-23.23,-51.67,49.71,81,0,4.21
294,Hanna,CA,2020-05-28 05:00:16,51.63,-111.9,52.0,61,0,7.83
295,Kedgwick,CA,2020-05-28 05:02:15,47.64,-67.34,66.24,96,66,8.23
296,Mackay,AU,2020-05-28 05:02:16,-21.15,149.2,77.0,60,0,12.75
297,Samarai,PG,2020-05-28 05:02:16,-10.62,150.67,81.84,82,26,10.98
298,Salinas,US,2020-05-28 05:02:16,36.68,-121.66,59.0,82,1,4.7
299,Pathein,MM,2020-05-28 05:02:17,16.78,94.73,95.54,47,91,6.51
300,Qarqin,AF,2020-05-28 05:02:17,37.42,66.04,91.42,19,0,12.66
301,Le Port,RE,2020-05-28 05:02:17,-20.94,55.29,77.0,69,20,12.75
302,Asau,RO,2020-05-28 05:02:17,46.43,26.4,50.0,84,40,5.14
303,Pisco,PE,2020-05-28 04:59:24,-13.7,-76.22,66.2,77,90,2.24
304,Hamilton,US,2020-05-28 05:00:31,39.18,-84.53,72.0,88,20,7.74
305,Oskarshamn,SE,2020-05-28 05:02:17,57.26,16.45,54.0,84,9,1.01
306,Ngunguru,NZ,2020-05-28 05:02:18,-35.62,174.5,57.99,96,37,3.0
